,Counties,Year,time_period,subtable_headers,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
107,"Monterey County, CA",2012,5Y,"Monterey County, California!!Total!!Estimate",7.70%,7.50%,7.20%,7.10%,7.70%,7.40%,7.40%,6.60%,6.40%,6.10%,6.10%,5.70%,5.20%,4.00%,2.70%,1.80%,1.60%,1.90%
108,"San Benito County, CA",2016,5Y,"Monterey County, California!!Total!!Estimate",7.90%,7.50%,6.80%,7.70%,7.90%,7.70%,7.20%,6.80%,6.40%,6.40%,6.40%,5.50%,4.90%,3.10%,2.50%,2.00%,1.50%,1.70%
109,"San Benito County, CA",2012,5Y,"San Benito County, California!!Total!!Estimate",6.80%,7.40%,8.00%,7.70%,7.00%,6.50%,6.60%,6.40%,6.60%,7.00%,7.20%,6.40%,5.40%,3.80%,2.90%,1.90%,1.20%,1.50%
110,"Orange County, CA",2016,1Y,"San Benito County, California!!Total!!Estimate",7.30%,7.80%,8.40%,8.20%,6.50%,6.40%,6.40%,6.70%,6.90%,7.60%,7.10%,6.00%,4.70%,2.60%,3.10%,1.80%,1.30%,1.20%
111,"Orange County, CA",2012,1Y,"Orange County, California!!Total!!Estimate",6.00%,6.00%,6.50%,6.60%,6.90%,7.50%,6.80%,6.60%,6.40%,7.30%,7.20%,6.60%,5.80%,4.60%,3.30%,2.40%,1.70%,2.00%
112,"Orange County, CA",2016,5Y,"Orange County, California!!Total!!Estimate",6.30%,6.50%,6.70%,7.10%,7.50%,7.00%,6.70%,6.60%,7.50%,7.40%,7.20%,6.20%,5.00%,3.90%,2.90%,2.00%,1.70%,1.80%
113,"Orange County, CA",2012,5Y,"Orange County, California!!Total!!Estimate",6.10%,6.20%,6.60%,6.80%,7.20%,7.20%,6.80%,6.50%,7.10%,7.30%,7.20%,6.50%,5.30%,4.30%,3.10%,2.30%,1.70%,1.80%
114,"Nevada County, CA",2016,1Y,"Orange County, California!!Total!!Estimate",6.40%,6.60%,6.90%,7.40%,7.20%,7.20%,6.60%,7.10%,7.50%,7.60%,7.10%,5.90%,4.80%,3.60%,2.70%,2.10%,1.70%,1.70%
115,"Nevada County, CA",2012,1Y,"Nevada County, California!!Total!!Estimate",3.70%,4.70%,6.30%,4.70%,4.20%,4.00%,6.70%,5.20%,4.90%,5.40%,6.50%,8.40%,9.40%,9.60%,6.30%,4.00%,2.50%,3.50%
116,"Nevada County, CA",2016,5Y,"Nevada County, California!!Total!!Estimate",4.40%,4.10%,5.50%,6.60%,4.60%,4.30%,4.80%,5.20%,5.20%,7.20%,8.20%,8.80%,10.00%,7.10%,5.20%,3.10%,2.90%,2.90%
117,"Nevada County, CA",2012,5Y,"Nevada County, California!!Total!!Estimate",4.30%,4.70%,5.40%,5.60%,4.70%,4.50%,5.20%,5.10%,5.30%,5.80%,7.40%,8.70%,9.80%,8.20%,5.80%,3.50%,2.80%,3.10%
118,"Santa Barbara County, CA",2016,5Y,"Nevada County, California!!Total!!Estimate",4.40%,5.10%,5.60%,6.20%,4.70%,4.60%,4.70%,5.30%,5.50%,7.30%,8.70%,9.50%,8.80%,6.30%,4.70%,3.20%,2.80%,2.70%
119,"Santa Barbara County, CA",2016,1Y,"Santa Barbara County, California!!Total!!Estimate",6.50%,6.10%,6.20%,8.50%,11.20%,6.70%,6.50%,5.70%,5.60%,5.70%,6.10%,5.90%,5.20%,4.30%,3.10%,2.40%,1.90%,2.30%
120,"Santa Barbara County, CA",2012,1Y,"Santa Barbara County, California!!Total!!Estimate",6.50%,6.50%,5.70%,8.30%,11.10%,7.00%,6.30%,6.00%,5.40%,5.50%,5.70%,5.80%,5.60%,4.80%,3.20%,2.40%,2.10%,2.10%
121,"Santa Barbara County, CA",2012,5Y,"Santa Barbara County, California!!Total!!Estimate",6.50%,6.30%,6.00%,8.70%,10.80%,6.90%,6.50%,5.50%,6.20%,6.20%,6.20%,6.00%,5.00%,4.00%,2.80%,2.30%,1.80%,2.40%
122,"San Mateo County, CA",2016,1Y,"Santa Barbara County, California!!Total!!Estimate",6.50%,6.10%,6.20%,8.90%,10.50%,7.00%,6.30%,5.90%,6.00%,6.40%,6.50%,5.70%,4.90%,3.60%,2.70%,2.40%,1.80%,2.30%
123,"San Mateo County, CA",2016,5Y,"San Mateo County, California!!Total!!Estimate",5.70%,5.90%,6.00%,5.30%,5.40%,7.10%,7.50%,7.60%,6.70%,7.30%,7.10%,6.80%,6.30%,5.10%,3.50%,2.50%,1.80%,2.30%
124,"San Mateo County, CA",2012,1Y,"San Mateo County, California!!Total!!Estimate",6.10%,6.20%,5.80%,5.40%,5.60%,6.80%,7.40%,7.50%,7.10%,7.30%,7.40%,6.90%,6.00%,4.60%,3.40%,2.60%,1.80%,2.20%
125,"San Mateo County, CA",2012,5Y,"San Mateo County, California!!Total!!Estimate",6.20%,6.40%,5.70%,5.50%,5.50%,6.80%,7.30%,7.30%,7.60%,7.50%,7.50%,7.10%,5.80%,4.30%,3.10%,2.50%,1.90%,2.10%
126,"San Luis Obispo County, CA",2016,1Y,"San Mateo County, California!!Total!!Estimate",6.40%,6.30%,5.80%,5.70%,5.60%,6.80%,7.10%,7.50%,7.60%,7.80%,7.50%,6.70%,5.80%,4.10%,2.90%,2.40%,2.00%,2.10%
127,"San Luis Obispo County, CA",2012,1Y,"San Luis Obispo County, California!!Total!!Estimate",4.60%,4.90%,5.40%,8.00%,10.40%,5.80%,5.70%,6.30%,4.30%,5.30%,6.30%,6.80%,7.10%,7.60%,3.90%,3.30%,1.90%,2.40%
128,"San Luis Obispo County, CA",2016,5Y,"San Luis Obispo County, California!!Total!!Estimate",4.80%,5.10%,5.60%,7.80%,11.00%,5.60%,6.00%,5.10%,5.70%,5.90%,7.10%,6.80%,7.20%,5.10%,3.70%,2.60%,2.20%,2.90%
129,"San Luis Obispo County, CA",2012,5Y,"San Luis Obispo County, California!!Total!!Estimate",4.90%,5.10%,5.10%,8.00%,10.80%,5.60%,6.00%,5.50%,5.10%,5.70%,6.60%,7.20%,6.90%,6.10%,4.00%,2.90%,2.20%,2.40%
130,"Solano County, CA",2016,1Y,"San Luis Obispo County, California!!Total!!Estimate",5.00%,4.80%,5.50%,8.20%,10.40%,6.20%,5.50%,5.20%,5.80%,6.90%,7.50%,7.30%,6.40%,4.60%,3.40%,2.70%,2.20%,2.50%
131,"Solano County, CA",2016,5Y,"Solano County, California!!Total!!Estimate",6.20%,6.20%,6.20%,6.10%,6.90%,7.60%,7.00%,6.60%,5.60%,6.30%,7.00%,7.00%,6.50%,5.40%,3.50%,2.40%,1.50%,1.90%
132,"Solano County, CA",2012,1Y,"Solano County, California!!Total!!Estimate",6.20%,6.40%,6.50%,6.40%,7.20%,7.30%,6.90%,6.30%,6.10%,6.70%,7.30%,6.90%,6.40%,5.00%,3.10%,2.30%,1.50%,1.60%
133,"Solano County, CA",2012,5Y,"Solano County, California!!Total!!Estimate",6.30%,6.20%,6.90%,6.80%,7.40%,7.10%,6.60%,6.10%,6.50%,7.20%,7.60%,7.10%,6.00%,4.60%,2.40%,2.30%,1.40%,1.50%
134,"Sierra County, CA ",2012,5Y,"Solano County, California!!Total!!Estimate",6.50%,6.70%,6.80%,7.30%,7.10%,6.90%,6.40%,6.50%,6.70%,7.60%,7.70%,6.60%,5.80%,3.80%,2.60%,2.20%,1.50%,1.40%
135,"Sierra County, CA ",2016,5Y,"Sierra County, California!!Total!!Estimate",5.20%,4.10%,4.20%,6.30%,2.10%,3.00%,3.20%,4.30%,7.60%,7.30%,9.50%,12.90%,8.60%,9.30%,3.80%,5.40%,1.60%,1.70%
136,"San Joaquin County, CA",2016,1Y,"Sierra County, California!!Total!!Estimate",3.50%,5.30%,4.40%,3.40%,2.20%,2.60%,3.90%,6.20%,4.80%,4.90%,8.20%,16.10%,8.40%,10.70%,5.90%,3.00%,3.30%,3.20%
137,"San Joaquin County, CA",2012,1Y,"San Joaquin County, California!!Total!!Estimate",7.10%,8.10%,7.50%,7.50%,7.00%,7.10%,6.80%,6.40%,6.30%,6.40%,6.30%,5.80%,5.20%,4.00%,3.30%,2.00%,1.50%,1.50%
138,"San Joaquin County, CA",2016,5Y,"San Joaquin County, California!!Total!!Estimate",7.70%,8.00%,8.10%,7.90%,7.40%,6.70%,6.60%,6.60%,6.40%,6.50%,6.50%,5.40%,5.00%,3.50%,2.70%,2.10%,1.40%,1.40%
139,"San Joaquin County, CA",2016,5Y,"San Joaquin County, California!!Total!!Estimate",7.30%,7.80%,8.00%,7.70%,7.30%,6.90%,6.70%,6.50%,6.40%,6.40%,6.50%,5.80%,5.00%,3.90%,2.90%,2.00%,1.40%,1.50%
140,"Santa Cruz County, CA",2016,1Y,"San Joaquin County, California!!Total!!Estimate",7.90%,8.00%,8.20%,8.40%,7.20%,6.70%,6.50%,6.50%,6.70%,6.80%,6.50%,5.70%,4.40%,3.20%,2.50%,1.90%,1.50%,1.50%
141,"Santa Cruz County, CA",2016,5Y,"Santa Cruz County, California!!Total!!Estimate",5.30%,5.50%,5.50%,8.50%,10.00%,5.90%,5.60%,6.50%,5.30%,6.40%,6.80%,7.10%,6.70%,5.40%,3.90%,2.70%,1.40%,1.50%
142,"Santa Cruz County, CA",2012,1Y,"Santa Cruz County, California!!Total!!Estimate",5.50%,5.50%,5.60%,8.40%,10.20%,6.10%,6.10%,6.00%,5.90%,6.30%,6.90%,7.40%,6.60%,5.20%,3.10%,2.10%,1.40%,1.80%
143,"Santa Cruz County, CA",2012,5Y,"Santa Cruz County, California!!Total!!Estimate",5.60%,5.30%,6.30%,8.50%,9.80%,6.00%,6.10%,5.70%,6.70%,6.50%,7.20%,8.10%,5.90%,4.80%,2.20%,1.70%,1.50%,2.00%
144,"Shasta County, CA",2016,5Y,"Santa Cruz County, California!!Total!!Estimate",5.70%,5.60%,5.90%,8.50%,9.80%,6.30%,6.10%,5.80%,6.80%,7.00%,7.60%,7.60%,6.00%,3.70%,2.40%,1.80%,1.70%,1.70%
145,"Shasta County, CA",2012,1Y,"Shasta County, California!!Total!!Estimate",5.80%,6.10%,5.90%,6.10%,6.20%,6.20%,6.00%,5.40%,5.10%,6.00%,7.20%,7.40%,7.30%,6.50%,4.70%,3.10%,2.50%,2.50%
146,"Shasta County, CA",2012,5Y,"Shasta County, California!!Total!!Estimate",5.50%,5.50%,6.30%,6.90%,6.30%,5.90%,5.20%,5.10%,6.20%,6.60%,7.70%,7.40%,7.10%,6.10%,4.30%,2.70%,2.70%,2.50%
147,"Shasta County, CA",2016,1Y,"Shasta County, California!!Total!!Estimate",5.80%,5.80%,6.60%,7.00%,6.30%,5.90%,5.30%,5.10%,6.10%,7.00%,7.70%,7.50%,6.90%,5.40%,4.10%,2.80%,2.50%,2.30%
148,"Siskiyou County, CA",2012,5Y,"Shasta County, California!!Total!!Estimate",5.90%,5.70%,6.30%,6.10%,5.80%,6.20%,6.00%,5.30%,5.30%,5.70%,6.60%,7.00%,7.80%,6.80%,5.10%,3.90%,2.60%,1.80%
149,"Siskiyou County, CA",2016,5Y,"Siskiyou County, California!!Total!!Estimate",5.30%,5.90%,5.60%,6.20%,4.90%,4.90%,4.60%,5.00%,5.20%,6.70%,8.30%,8.70%,8.80%,6.30%,5.00%,3.50%,2.70%,2.40%
150,"Santa Clara County, CA",2016,1Y,"Siskiyou County, California!!Total!!Estimate",5.20%,6.10%,5.30%,5.70%,5.00%,4.70%,5.50%,4.70%,4.70%,5.50%,7.20%,8.70%,8.80%,7.40%,6.50%,3.60%,2.30%,2.90%
151,"Santa Clara County, CA",2016,5Y,"Santa Clara County, California!!Total!!Estimate",6.20%,6.40%,6.30%,5.90%,6.30%,7.90%,7.90%,7.30%,7.20%,7.20%,6.90%,6.30%,5.30%,4.10%,3.10%,2.10%,1.60%,1.80%
152,"Santa Clara County, CA",2012,1Y,"Santa Clara County, California!!Total!!Estimate",6.40%,6.70%,6.40%,6.00%,6.40%,7.60%,7.80%,7.40%,7.60%,7.20%,7.10%,6.20%,5.00%,3.90%,2.90%,2.10%,1.60%,1.70%
153,"Santa Clara County, CA",2012,1Y,"Santa Clara County, California!!Total!!Estimate",6.70%,7.00%,6.20%,6.20%,6.30%,7.40%,7.70%,7.50%,7.80%,7.40%,7.20%,6.10%,4.90%,3.70%,2.70%,1.90%,1.70%,1.60%
154,"Tulare County, CA",2016,1Y,"Santa Clara County, California!!Total!!Estimate",7.00%,6.80%,6.40%,6.40%,6.40%,7.50%,7.70%,7.90%,7.70%,7.70%,7.00%,5.80%,4.70%,3.40%,2.60%,2.00%,1.60%,1.50%
155,"Tulare County, CA",2012,1Y,"Tulare County, California!!Total!!Estimate",8.60%,8.80%,8.90%,8.00%,7.30%,7.30%,6.70%,6.40%,6.00%,5.70%,5.60%,5.40%,4.50%,3.70%,2.70%,2.00%,1.30%,1.20%
156,"Tulare County, CA",2016,5Y,"Tulare County, California!!Total!!Estimate",9.10%,9.20%,8.60%,8.50%,7.60%,7.00%,7.20%,5.90%,6.30%,5.80%,5.60%,5.00%,4.20%,3.20%,2.40%,1.80%,1.20%,1.30%
157,"Tulare County, CA",2012,5Y,"Tulare County, California!!Total!!Estimate",8.70%,9.00%,8.70%,8.20%,7.60%,7.10%,6.90%,6.00%,6.30%,5.80%,5.70%,5.10%,4.50%,3.60%,2.40%,1.80%,1.30%,1.30%
158,"Trinity County, CA",2016,5Y,"Tulare County, California!!Total!!Estimate",9.30%,8.60%,9.10%,8.70%,7.40%,7.30%,6.70%,6.30%,6.00%,6.10%,5.70%,5.00%,4.10%,3.10%,2.20%,1.70%,1.30%,1.20%
159,"Trinity County, CA",2012,5Y,"Trinity County, California!!Total!!Estimate",4.40%,4.60%,5.00%,5.70%,3.00%,3.70%,4.70%,5.80%,5.60%,6.30%,7.50%,9.10%,10.50%,8.90%,5.40%,4.20%,3.00%,2.60%
160,"Tuolumne County, CA",2016,5Y,"Trinity County, California!!Total!!Estimate",5.90%,4.40%,5.60%,4.70%,4.40%,4.50%,5.10%,6.30%,3.70%,7.10%,9.10%,10.40%,8.90%,6.90%,5.20%,3.40%,1.50%,3.10%
161,"Tuolumne County, CA",2012,5Y,"Tuolumne County, California!!Total!!Estimate",4.20%,5.20%,4.20%,5.30%,5.50%,5.70%,5.90%,5.50%,4.90%,5.60%,7.10%,8.30%,9.10%,7.60%,6.10%,3.70%,2.90%,3.10%
162,"Yolo County, CA",2016,1Y,"Tuolumne County, California!!Total!!Estimate",4.40%,4.80%,4.70%,5.90%,5.50%,5.60%,5.10%,4.80%,5.90%,7.00%,8.70%,8.80%,8.10%,6.90%,4.50%,3.70%,2.80%,2.70%
163,"Yolo County, CA",2012,1Y,"Yolo County, California!!Total!!Estimate",5.80%,6.40%,5.40%,9.40%,13.80%,7.50%,6.30%,6.90%,5.20%,5.30%,5.30%,5.60%,5.00%,4.50%,2.50%,1.80%,1.40%,1.80%
164,"Yolo County, CA",2016,5Y,"Yolo County, California!!Total!!Estimate",5.70%,5.80%,6.10%,8.90%,14.70%,6.90%,6.40%,5.70%,6.20%,6.40%,6.10%,5.60%,4.50%,3.80%,2.60%,1.70%,1.00%,1.90%
165,"Yolo County, CA",2012,5Y,"Yolo County, California!!Total!!Estimate",5.90%,6.10%,6.00%,9.20%,14.50%,7.00%,6.50%,5.70%,5.90%,5.70%,5.70%,5.40%,5.00%,3.80%,2.70%,1.90%,1.30%,1.70%
166,"Sutter County, CA",2016,1Y,"Yolo County, California!!Total!!Estimate",6.20%,6.20%,6.10%,9.60%,14.00%,7.20%,6.60%,6.00%,5.90%,6.20%,6.10%,5.40%,4.60%,3.40%,2.00%,1.80%,1.40%,1.50%
167,"Sutter County, CA",2012,1Y,"Sutter County, California!!Total!!Estimate",6.80%,7.20%,7.70%,7.20%,7.10%,6.70%,5.60%,6.70%,6.00%,6.10%,6.00%,5.50%,6.30%,4.90%,2.90%,2.20%,2.80%,2.20%
168,"Sutter County, CA",2016,5Y,"Sutter County, California!!Total!!Estimate",7.20%,8.70%,6.50%,9.00%,6.20%,6.70%,6.50%,5.30%,7.70%,5.50%,6.50%,5.90%,4.90%,3.70%,3.60%,2.30%,1.80%,2.20%
169,"Sutter County, CA",2012,5Y,"Sutter County, California!!Total!!Estimate",6.90%,8.10%,6.90%,7.00%,6.80%,7.00%,6.50%,6.00%,6.20%,6.00%,6.70%,6.00%,5.40%,4.60%,3.40%,2.40%,2.10%,2.00%
170,"Tehama County, CA",2016,5Y,"Sutter County, California!!Total!!Estimate",7.50%,8.00%,7.10%,7.70%,6.90%,6.90%,6.50%,6.50%,6.20%,6.80%,6.50%,5.40%,5.20%,3.80%,3.30%,2.40%,1.90%,1.40%
171,"Tehama County, CA",2012,5Y,"Tehama County, California!!Total!!Estimate",6.10%,7.10%,6.60%,6.30%,5.90%,6.00%,5.60%,5.60%,5.80%,6.10%,7.30%,6.80%,6.90%,5.90%,4.60%,3.60%,1.80%,2.10%
172,"Stanislaus County, CA",2016,1Y,"Tehama County, California!!Total!!Estimate",6.80%,6.70%,7.20%,7.30%,5.80%,5.80%,5.50%,5.40%,6.20%,7.10%,7.20%,7.20%,5.80%,5.10%,4.00%,3.20%,1.90%,1.80%
173,"Stanislaus County, CA",2012,1Y,"Stanislaus County, California!!Total!!Estimate",7.30%,7.30%,8.00%,7.20%,6.90%,7.50%,7.00%,6.40%,5.90%,6.10%,6.20%,5.90%,5.30%,3.90%,3.50%,2.30%,1.50%,1.50%
174,"Stanislaus County, CA",2016,5Y,"Stanislaus County, California!!Total!!Estimate",7.60%,7.20%,8.40%,7.90%,7.40%,7.00%,6.60%,5.90%,6.80%,6.80%,6.60%,5.50%,5.10%,3.70%,2.70%,1.80%,1.50%,1.60%
175,"Stanislaus County, CA",2012,5Y,"Stanislaus County, California!!Total!!Estimate",7.40%,7.50%,7.90%,7.50%,7.30%,7.20%,6.80%,6.20%,6.40%,6.30%,6.50%,5.90%,5.00%,4.00%,3.00%,2.10%,1.50%,1.60%
176,"Sonoma County, CA",2016,1Y,"Stanislaus County, California!!Total!!Estimate",7.80%,7.40%,8.30%,8.20%,7.30%,7.10%,6.60%,6.40%,6.60%,6.80%,6.50%,5.70%,4.50%,3.30%,2.50%,1.80%,1.60%,1.50%
177,"Sonoma County, CA",2012,1Y,"Sonoma County, California!!Total!!Estimate",5.10%,5.60%,6.00%,5.80%,6.00%,6.60%,6.40%,6.20%,6.20%,6.40%,7.00%,6.70%,7.90%,7.20%,4.00%,2.80%,1.80%,2.40%
178,"Sonoma County, CA",2016,5Y,"Sonoma County, California!!Total!!Estimate",5.60%,6.00%,6.00%,6.30%,7.00%,6.40%,6.30%,6.00%,6.20%,6.80%,7.60%,7.40%,7.10%,5.00%,3.50%,2.40%,1.80%,2.40%
179,"Sonoma County, CA",2012,5Y,"Sonoma County, California!!Total!!Estimate",5.30%,5.80%,5.80%,6.20%,6.40%,6.50%,6.50%,6.00%,6.30%,6.50%,7.30%,7.30%,7.30%,6.10%,3.90%,2.60%,1.90%,2.30%
180,"Ventura County, CA",2016,1Y,"Sonoma County, California!!Total!!Estimate",5.80%,6.10%,6.10%,6.90%,6.70%,6.50%,6.10%,6.20%,6.40%,7.30%,7.70%,7.40%,6.80%,4.50%,3.00%,2.40%,1.90%,2.40%
181,"Ventura County, CA",2012,1Y,"Ventura County, California!!Total!!Estimate",6.10%,6.60%,6.70%,6.80%,7.00%,6.80%,6.40%,6.30%,6.10%,6.70%,7.00%,6.80%,6.20%,5.00%,3.50%,2.50%,1.60%,2.00%
182,"Ventura County, CA",2012,5Y,"Ventura County, California!!Total!!Estimate",6.60%,7.10%,6.80%,7.30%,7.30%,6.50%,6.40%,6.50%,6.40%,7.10%,7.50%,6.60%,5.30%,4.20%,2.70%,2.20%,1.60%,1.90%
183,"Ventura County, CA",2016,5Y,"Ventura County, California!!Total!!Estimate",6.70%,7.00%,7.10%,7.70%,6.90%,6.60%,6.20%,6.50%,7.00%,7.50%,7.40%,6.10%,5.30%,3.80%,2.50%,2.10%,1.70%,1.70%
184,"Yuba County, CA",2012,1Y,"Ventura County, California!!Total!!Estimate",6.30%,6.60%,7.00%,7.00%,7.20%,6.60%,6.40%,6.30%,6.40%,6.90%,7.30%,6.90%,5.60%,4.60%,3.20%,2.30%,1.60%,1.90%
185,"Yuba County, CA",2016,1Y,"Yuba County, California!!Total!!Estimate",8.50%,9.20%,6.40%,5.90%,9.20%,8.00%,6.40%,5.50%,6.30%,5.60%,6.80%,5.70%,6.00%,3.70%,2.30%,1.70%,1.50%,1.20%
186,"Yuba County, CA",2016,5Y,"Yuba County, California!!Total!!Estimate",7.60%,8.70%,7.60%,6.30%,7.30%,8.30%,8.00%,6.70%,5.10%,5.40%,6.20%,5.90%,6.10%,5.20%,1.70%,1.40%,1.00%,1.50%
187,"Yuba County, CA",2012,5Y,"Yuba County, California!!Total!!Estimate",8.30%,8.10%,7.20%,6.70%,7.70%,8.20%,7.20%,5.90%,6.00%,5.70%,6.20%,6.40%,4.90%,4.40%,2.60%,1.90%,1.30%,1.30%
188,San Francisco County,2016,1Y,"Yuba County, California!!Total!!Estimate",8.50%,7.90%,7.90%,7.50%,7.50%,7.70%,7.10%,5.90%,6.20%,6.60%,6.50%,5.30%,5.20%,3.20%,2.50%,1.50%,1.70%,1.10%
189,San Francisco County,2012,1Y,United States!!Total!!Estimate,6.10%,6.30%,6.40%,6.70%,6.90%,7.00%,6.70%,6.50%,6.10%,6.50%,6.80%,6.70%,6.10%,5.20%,3.70%,2.60%,1.80%,1.90%
190,San Francisco County,2012,5Y,United States!!Total!!Estimate,6.30%,6.50%,6.60%,6.90%,7.20%,6.80%,6.60%,6.20%,6.70%,6.90%,7.20%,6.60%,5.70%,4.40%,3.20%,2.40%,1.90%,1.90%
191,San Francisco County,2016,5Y,"San Francisco County, California!!Total!!Estimate",4.40%,3.50%,3.30%,4.30%,7.10%,11.10%,10.10%,8.70%,7.90%,7.10%,6.70%,6.20%,5.80%,3.80%,3.10%,2.70%,2.10%,2.20%
